example_id,context,description,category,confidence,reviewer_notes
L17-0597,"<bos> [What]  is Microservices Security?
Microservices are small",,,,
L17-0598," decade Lippisch built many tailless aircraft and also [ became]  involved with rocket propulsion, so it was no great",,,,
L17-0599," maritime museums in Mystic, Ct and South Street, [ Manhattan] , which led to her crewing on sailing ships",,,,
L17-0600, length of the fragment and just use the estimate of [ Mw]  660 per base pair.,,,,
L17-0601," at times, such a diet may give way to [ osteoporosis]  4 and kidney diseases.
Some examples of",,,,
L17-0602, suspected the presence of petroleum beneath the land of the [ Os] ages. In 1895 he applied,,,,
L17-0603,"<bos>The Black River Escarpment is a [ geological]  feature in Eastern Wisconsin.
The escarpment",,,,
L17-0604,1630s. Printed as a broad [side]  by Stephen Daye in 1639,,,,
L17-0605," minesweepers of the United States Navy
World [ War]  II minesweepers of the United States
1",,,,
L17-0606," the Milky Way.
The moon, the planet [ Venus]  and even the sun are depicted over Switzerland in this",,,,
L17-0607,"9, originally served as the library, was newly [ renovated]  in 2015. In 2",,,,
L17-0608," north coast of the Ceramic Gulf—named after this [ city] —in ancient Caria, in southwest Asia Minor",,,,
L17-0609," had, so far, investigated the related processes and [ materials]  for many monumental features, including the necessary resource investments",,,,
L17-0610," dingy white, with pale gray overscaling and [ mott] ling. Adults have been recorded on wing from October",,,,
L17-0611,"ino whites (2.71%).
Geography [ was]  not a factor, however. The prevalence of",,,,
L17-0612, of the options below. Your feedback will help tell [ CNN]  producers what to do with this iReport. If,,,,
L17-0613," sessions for budding cricketers have not been stopped.

 [See]  also 

List of Test cricket grounds
 One",,,,
L17-0614,<bos>Children in the Israeli–Palestinian conflict refers [ to]  the impact of the Israeli–Palestinian conflict on,,,,
L17-0615,"

Ranson was awarded the Lloyd’s Life [ Saving]  Medal ""as an honorary acknowledgement of his extraordinary exertions",,,,
L17-0616, countries have accumulated clinical evidence of the harmful exposure to [ EMF] s (Electromagnetic Frequencies) generated by electric,,,,
L17-0617," efforts for livestock protection. However, potential lease hunting [ income]  has renewed predator control efforts for protection of the ",,,,
L17-0618," skirt of a large sail.
We have already [ explained]  the use of the bowline; that it is",,,,
L17-0619, growing emphasis on creating sustainable learning environments that not only [ cater]  to educational needs but also address global environmental concerns.,,,,
L17-0620," “about 20 percent of inmates last year [ were]  segregated for 120 continuous days,” meaning",,,,
L17-0621," Agriculture
PINE BLUFF, Ark. – [ Winter]  feed bills are one of the largest expenses of a",,,,
L17-0622, to others. The Jaycees later expanded to [ include]  women after the United States Supreme Court ruled in the,,,,
L17-0623,").

Transport
Par Patiram is on State [ Highway]  10 (Balurghat-H",,,,
L17-0624," foam, and thereby increasing its surface area, impacted [ its]  environmental lifetime. They observed that the CDA foam broke",,,,
L17-0625,"38, and follows the fate of various people [ exiled]  to remote Hachijo Island in the Pacific Ocean",,,,
L17-0626,"ura.

References

External links
Polish official [ population]  figures 2006

Sypniew",,,,
L17-0627,", Holey combines science-fiction, esoter [icism] , Nazi-mythology, ufology and """,,,,
L17-0628, socially liberal causes such as women's suffrage and [ Māori]  rights. Both groups were originally part of a government,,,,
L17-0629,"<bos> [Dong]  Xi (died 217), courtesy name",,,,
L17-0630," 'The Cradle of Malaysia'.
Global Treasures - [ History] 's Most Protected Monuments - Heritage is our legacy",,,,
L17-0631,".

On 15 December 19 [9] 4, the Shire of Flinders was abolished, and",,,,
L17-0632, writings between 1844 and 1 [8] 46 treat the form of labor in modern society,,,,
L17-0633," university for chronic fatigue, and announced that she would [ retire]  as rector, effective June 2018",,,,
L17-0634, surrounding alchemy. Thus kayakujutsu mysticism refers to [ elements]  like the Earth (Chi) to develop Fire (,,,,
L17-0635,94 when he learned about the game from fellow [ gamers] . As a player from Cologne he quickly became acquainted,,,,
L17-0636,". However, the tonic is introduced in measure  [9]  which also represents music In the Romantic period as having",,,,
L17-0637,"7
Results at ABF Website
Results

 [External]  links
Official Website

Women's masters",,,,
L17-0638," Den Bosch until 2014, after [ which]  he left for an unknown Cypriot club. A",,,,
L17-0639," first serious psychical researcher.
Edmonds, [ whose]  wife had died in late 1850",,,,
L17-0640," the culprit who murdered his sister.

Cast
 [ Samp] ath Sri Roshan as Dev
 Sasanthi Jay",,,,
L17-0641,", while some Christians in the organisation argued that he [ was]  destroying the party's idealism in pursuit of electoral",,,,
L17-0642," take many forms, and is one way of managing [ anxiety] . People may not meet the requirments of",,,,
L17-0643,", he was assisted in his work by his wife [ Annie]  Maunder.  In 1904",,,,
L17-0644," Binduga
 Bobry
 Bogdany Ma [łe] 
 Bogdany Wielkie
 Brzeski",,,,
L17-0645," a space - time block code, and then split [ into]  n streams which are simultaneously transmitted using n transmit antennas",,,,
L17-0646,"The centre is named after Frances le Sueur, [ a]  naturalist and botanist who lived in the bay and",,,,
L17-0647," system a motorcyclist should use on the highways, [ suburban]  streets. It is designed so that even on a",,,,
L17-0648,"<bos> [R] ola Nashef is an American director, screenwriter",,,,
L17-0649, Mother India (1957) and Salaam [ Bombay] ! (1988). Lagaan became,,,,
L17-0650," the artist considered for the album, before deciding on [ Shock]  Treatment, were ""Son of Sam"" and """,,,,
L17-0651," symbol of Japanese militarism.
Relations between South [ Korea]  and Japan remain strained over different perceptions of wartime history",,,,
L17-0652,"back said those former employees were lying and disgruntled, [ that]  Anifantis and Ballash were fired because of",,,,
L17-0653, is propelling him through the sky above the rooftops and [ sp] ires of a town. It is a German version,,,,
L17-0654,"On the away from chance that you just check upon [ the]  web, you is going to discover several producers of",,,,
L17-0655," advertise video game sales and rentals.

David "" [kra] zy8"" Rocci got a sentence of ",,,,
L17-0656," 2003), about half a kilometer [ southeast]  of Piața Romană, just east of the",,,,
L17-0657,<bos> [USS]  Sable (IX-81) was a United,,,,
L17-0658, Cornish gentry supported Warbeck's cause after [ their]  setback previously in June of that year and on ,,,,
L17-0659, a privately held biotechnology company offering pre-clinical and [ clinical] -grade imaging agents used to non-invasively,,,,
L17-0660," admitted to the semifinals against the winners of the Lombard [ia]  group, US Milanese, and lost the first",,,,
L17-0661,", virtually halting print production in Kamigata for five [ years] . A gradual weakening of enforcement ensued despite reiterations",,,,
L17-0662," was buried in Cave Hill Cemetery, which Grinstead [ Drive]  runs alongside.

References

1845",,,,
L17-0663," miles from their land.

Ritter has investigated [ drug]  use among some teenage Orthodox Jews in Brooklyn, and",,,,
L17-0664," Magazine, Godey's Lady's [ Book] , and the Southern Literary Messenger. Lee used the",,,,
L17-0665, Hugo came ashore near Sullivan's Island; few [ people]  were prepared for the destruction that followed in its wake,,,,
L17-0666, in the WWF and was jealous of Hogan's [ reign]  as WWF World Heavyweight Champion and in believing that,,,,
L17-0667," los Ríos, or the Junction of the Rivers, [ for]  the Río Conchos and the Rio Grande join at",,,,
L17-0668," (2002)
Back in the [ Boss] 's Bed (2003)
",,,,
L17-0669,"

See also
List of mountains of Norway

 [References] 

Lesja
Mountains of Innlandet",,,,
L17-0670,"<bos>by [ Terri]  Cook and Lon Abbott Thursday, June 7,",,,,
L17-0671, a beneficent urban environment? What meanings have been [ attached]  to Vancouver’s “good” water over time,,,,
L17-0672, toward our galaxy at millions of miles per hour. [ Even]  crazier? These stars appear to be foreign re,,,,
L17-0673, for the atomic bomb. It was constructed in  [1] 932 and replaced a train bridge that was,,,,
L17-0674," conversation for booking organizing etc. special attention should be [ given]  for names, dates times, places &numbers.",,,,
L17-0675," of being imbricated like those of land- [sn] akes, form hexagons; and those on the belly",,,,
L17-0676," use of either a Koppers Aeromatic or S [ensen] ich Skyblade propeller.

The 14",,,,
L17-0677,"<bos>What Are The Muscles That Support [ Your]  Spine?
Although most conditions we handle have to",,,,
L17-0678, served as the speaker of the New York General Assembly [ from]  1737 to 173,,,,
L17-0679," to 100 million years ago, during [ the]  Late Cretaceous period, much of the central continent was",,,,
L17-0680, in their full historical and social context. And although [ he]  does treat of trials and travails of the farmers,,,,
L17-0681," Ledger's friend Matt Amato got involved in [ the]  project.

References

External links

20",,,,
L17-0682," besides all forms nature offers in rocks, trees, [ fruit] , animals etc., the egg-shaped rocks were",,,,
L17-0683,"dorfer, born 1946 in [ Mannheim] , Germany, studied law and sociology from the universities",,,,
L17-0684," acid called asparagine. Known as the Ma [illard]  reaction, this process is responsible for the brown colour",,,,
L17-0685," - Mummy beaver, Bobby Beaver, Ben Beaver, [ Grandpa]  Beaver, Grandma Beaver, Daddy Beaver, and the",,,,
L17-0686," choose to seek a less invasive therapy such as Home [opathy] .
Polycystic Ovarian Syndrome,",,,,
L17-0687," music, e.g. for the film Kat [ia]  (with Danielle Darrieux).

During World",,,,
L17-0688,"fy and was released on DVD on May 2 [7] , 2014. The film is",,,,
L17-0689,", 2023.

References

 [External]  links

1972 births
Living people",,,,
L17-0690," names. Many of the maps include these SPA boundaries [ for]  orientation.
Most of the data are derived from",,,,
L17-0691,-19th century as gentler treatments were [ shown]  to be more effective and the idea of palliative treatment,,,,
L17-0692,"
 The further organization of such a measure, by [ repetition]  and variation, into a true musical phrase having a",,,,
L17-0693," the north, Pyigyidagun Township in the [ south] . The Mahamuni Buddha, one of the",,,,
L17-0694," by Henri and eventually taken to Fresnes Prison, [ near]  Paris; Arnauld was away when the hotel",,,,
L17-0695, it was turned over to the Federal Government in  [1] 872. In the late 18,,,,
L17-0696," 2015 | Museums & Galleries
 [The]  Booth Museum is all about birds, butterflies, fossils",,,,
L17-0697," the Ethical Culture Fieldston School in New York, [ is]  a book review editor at HNN. His new",,,,
L17-0698," Station. In 1844, the [ three]  companies merged to form the Midland Railway.

Origin",,,,
L17-0699,".

According to a public announcement from the Palace [ Museum] , Shan Jixiang retired on April 8",,,,
L17-0700," to establish the Diocese of Beaza.

Recorded [ bishops]  are
 Rogato (675? –",,,,
L17-0701, central idea correctly? Here are a few samples of [ modeling]  how to pick out the topic and main ideas.,,,,
L17-0702," also smell of the moss and dirt from her forest [ of]  origin.

Nocnitsa is linked to",,,,
L17-0703, spread dramatically in areas not natural to its distribution in [ large]  part because Caltrans has begun to use it in,,,,
L17-0704," disturbances associated with forest harvesting, but their impacts on [ forest]  ecosystems are not well understood. Because microbiological processes regulate",,,,
L17-0705," independent survey by a city-based organisation, Moon [ Foundation] , dealing only with paediatric depression cases, 3",,,,
L17-0706,"
Municipal presidents in Michoacán
Members of [ the]  Congress of Michoacán
Deputies of the",,,,
L17-0707,". (Suffragan bishops are appointed through a [ much]  simpler process, reflecting their status as directly responsible to",,,,
L17-0708," to historian Thomas Pakenham, as Moore was [ present]  during these searches, he prevented ""great abuses""",,,,
L17-0709, The Human Genetics Program at Sarah Lawrence College the oldest [ and]  largest training program for genetic counselors in the United States,,,,
L17-0710,00 known carotenoids. Diets high in [ caroten] oid-rich fruits and vegetables are associated with reduced,,,,
L17-0711," sound more hollow than a plain concrete floor).
 [Impact]  Noise of a Floor
The impact noise of a",,,,
L17-0712, goal of this standard is to establish a common and [ reproducible]  reference for evaluating the immunity of electrical and electronic equipment,,,,
L17-0713," Cup
1913–14 domestic [ association]  football cups",,,,
L17-0714," and, at the same time, Professor of Applied [ Logic]  at Utrecht University; such split positions are not uncommon",,,,
L17-0715," government securities was a purely artificial attempt to dope the [ inflation]  horse..”
this has to be a core concern",,,,
L17-0716," energy, and currencies. The monthly volume on all [ contracts]  is around US$12.6 million.",,,,
L17-0717, of the 1960s. He [ first]  started playing jazz in highschool. He started experimenting,,,,
L17-0718," 1991 was the first high speed [ line]  in Europe. Then, in the 19",,,,
L17-0719," coursework during his PhD. Keeling had applied for [ postdoctoral]  positions as a chemist almost exclusively to geology departments """,,,,
L17-0720, of the sweetness of spring that inspires people to leave [ their]  homes for pilgrimages. Here are the opening lines,,,,
L17-0721," Tendai mikkyō.
Perhaps the most [ enduring]  and representative symbol of the esoteric schools, also called",,,,
L17-0722,"<bos>Biovail Corporation was [ a]  Canadian pharmaceutical company, operating internationally in all aspects of",,,,
L17-0723, that takes into consideration both anatomic features and electrophys [i] ologic mechanisms determined at the time of electrophysi,,,,
L17-0724, cohomology of . The reason for this is that the [ passage]  from the complex of all differential forms to the complex,,,,
L17-0725," from sports for doping violation without a hearing. While [ never]  being convicted of using illegal drugs, her results from",,,,
L17-0726,"Seine
Athletes (track and field) at [ the]  2013 Mediterranean Games
Mediterranean Games",,,,
L17-0727, performance; Rosenblum was laid off. These four [ say]  they were let go after they complained to their superiors,,,,
L17-0728,<bos> [W] SEW (88.7 FM) is,,,,
L17-0729, quickly acknowledged it was more than that: drawings present [ numerous]  advantages at different stages of the research process. More,,,,
L17-0730,"
A tilted square is a square with no horizontal [ sides] . Can you
devise a general instruction for",,,,
L17-0731," Francis Edgeworth, appointed joint Clerk of the [ Crown]  and Hanaper in 1606,",,,,
L17-0732," became heir apparent to the dukedom and upon his [ father] 's death in 1974,",,,,
L17-0733, of a Mediterranean region was classified within an artificial neural [ network]  ( ANN) on a per-field basis using,,,,
L17-0734,"<bos>Marteg Halt railway station was a station to [ the]  northwest of Rhayader, Powys, Wales",,,,
L17-0735," account of his systematic mismanagement of the money voted for [ the]  service of the province, his neglect of public works",,,,
L17-0736,".

In spite of the hopes expressed by Mag [aña]  during the electoral campaign, his party managed to obtain",,,,
L17-0737, experiences can all play a role in how our mental [ health]  develops over time. If you’re feeling alone,,,,
L17-0738," and Khanyutin), and numerous monographs devoted to [ theater]  and cinema. She completed her doctorate in Art History",,,,
L17-0739, from Internet protocol security (IPSec) and Secure [ Socket]  Layer (SSL) virtual private networks (VPN),,,,
L17-0740, him on another speedboat. The chase ends with Me [eg] eren accidentally crashing his boat and it being destroyed by,,,,
L17-0741,", and two narrators. It works well for [ small]  groups in class or to do as a family.",,,,
L17-0742,<bos>Ronnie Wood (born  [1] 3 November 1960) is a,,,,
L17-0743, following is a list of players who have captained [ the]  Port Adelaide Football Club at a game of Australian rules,,,,
L17-0744," West Fordham, PhD, Associate Director of Science and [ Data] , Colorado State Forest Service
The Forest Inventory and",,,,
L17-0745,"SE, carries genes that code for toxins the researchers [ think]  are involved in the anti-wasp defense.",,,,
L17-0746," New South Wales (in Australia).  Its name [ means]  ""place of plenteous quartz stones"".

",,,,
L17-0747," wolf’s lair.”
The result is an [ un] sparing history of the German resistance to Hitler—",,,,
L17-0748,"80.

 
1990 [s]  in paleontology
Paleontology
Paleontology",,,,
L17-0749, to recast a mathematical proof in computer language for additional [ checks]  on its validity—and developing error-correcting,,,,
L17-0750," child.
For support, please call the Aleg [ent]  Health Helpline at 402-71",,,,
L17-0751, the significance of self-care. The department was [ initially]  primarily concerned with the detection and diagnosis of such ailments,,,,
L17-0752," Ivor T Davies as chairman and D. T [ Davies]  as vice-chairman.

J. B.",,,,
L17-0753, from his father and whom he would sometimes affectionately address [ as]  ‘mother’. Zaid bin Haritha was a,,,,
L17-0754," do.”
The benefits of such nano suturing [ are]  manifold. In just about every case, it appears",,,,
L17-0755,"
 Property restitution in Poland

References

Corruption in [ Poland] 
21st century in Warsaw
Events in",,,,
L17-0756, most common first-day what-ifs. ( [Picture]  book. 4-7),,,,
L17-0757," magnetic field lines emerging from our sun. Created by [ NASA] 's Solar Dynamics Observatory, the snapshot is made",,,,
L17-0758, was a substantial departure from the kinds of uses previously [ approved]  by the commission and dismissed five sets of applications that,,,,
L17-0759," Chicago-based institution that Jeanneret described as [ a]  ""crash course"" in broadcasting. Upon graduation,",,,,
L17-0760," only continue to raise awareness but also continue to drive [ funding]  into this area,"" he said.
""Pro",,,,
L17-0761,1 million study at Adelaide's National Centre For [ Petroleum]  Geology & Geophysics (NCPGG) is,,,,
L17-0762, of Korea's rural villages and collected the traditional [ songs]  they sang. Much of his poetry represents a modernization,,,,
L17-0763," to the transition rules.

Schedule

Bracket

 [References] 

2018–19 Western Athletic",,,,
L17-0764," Louis or are of more recent origin have referred to [ themselves]  as ""Continuing Anglican"", although they have no connection",,,,
L17-0765," devastating fire. Smart cities can also help alleviate traffic [ and]  address environmental concerns.
The Internet of Things (",,,,
L17-0766," than a siege that spent ten full years before the [ hill]  of Ilion, the world described in the poem",,,,
L17-0767,<bos>Sub [terr] anean Press Magazine: Summer 2013,,,,
